coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.85156___---___240x240___---___ipcam-6--00271.mp4_5454.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.43750___---___240x240___---___ipcam-6--00353.mp4_6996.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.70703___---___240x240___---___ipcam-6--00350.mp4_11208.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.59375___---___240x240___---___ipcam-6--00261.mp4_402.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.94531___---___240x240___---___ipcam-6--00290.mp4_12114.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.15234___---___240x240___---___ipcam-6--00353.mp4_8346.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.16797___---___240x240___---___ipcam-6--00261.mp4_336.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.50000___---___240x240___---___ipcam-6--00280.mp4_14898.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.58594___---___240x240___---___ipcam-6--00271.mp4_5484.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.84766___---___240x240___---___ipcam-6--00280.mp4_14892.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.18750___---___1280x960___---___ipcam-6--00014.mp4-0027.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.35547___---___1280x960___---___bilde--2018-06-10_05-37-30--offset_240sec__2_ipcam-2--00205.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.70312___---___240x240___---___ipcam-6--00271.mp4_5442.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.97266___---___240x240___---___ipcam-6--00353.mp4_7014.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.81250___---___240x240___---___ipcam-6--00271.mp4_5460.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.20312___---___1280x960___---___bilde--2018-06-09_22-27-22--offset_391sec__5_ipcam-2--00162.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.31641___---___1280x960___---___bilde--2018-06-17_11-02-22--offset_11sec__2_ipcam-2--00548.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.39844___---___240x240___---___ipcam-6--00280.mp4_14886.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.91406___---___240x240___---___ipcam-6--00261.mp4_396.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.72266___---___240x240___---___ipcam-6--00266.mp4_10158.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.97266___---___240x240___---___ipcam-6--00261.mp4_432.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.47656___---___1280x960___---___bilde--2018-06-10_16-27-43--offset_287sec__10_ipcam-2--00270.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.81250___---___240x240___---___ipcam-6--00271.mp4_5466.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.94141___---___240x240___---___ipcam-6--00353.mp4_6990.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.17969___---___240x240___---___ipcam-6--00271.mp4_2946.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.87500___---___240x240___---___ipcam-6--00353.mp4_6966.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.16797___---___1280x960___---___bilde--2018-06-17_11-02-22--offset_48sec__4_ipcam-2--00548.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.98438___---___240x240___---___ipcam-6--00261.mp4_450.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.93750___---___1280x960___---___bilde--2018-06-09_22-37-22--offset_592sec__6_ipcam-2--00163.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.92578___---___240x240___---___ipcam-6--00261.mp4_408.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.91406___---___240x240___---___ipcam-6--00261.mp4_456.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.87891___---___240x240___---___ipcam-6--00294.mp4_1086.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.98047___---___240x240___---___ipcam-6--00261.mp4_414.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.86719___---___240x240___---___ipcam-6--00266.mp4_10146.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.87500___---___240x240___---___ipcam-6--00290.mp4_12108.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.26562___---___240x240___---___ipcam-6--00266.mp4_10152.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.36719___---___240x240___---___ipcam-6--00280.mp4_14910.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.19922___---___1280x960___---___ipcam-6--00014.mp4-0026.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.38281___---___1280x960___---___bilde--2018-06-17_12-42-24--offset_163sec__10_ipcam-2--00558.mp4.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.92969___---___240x240___---___ipcam-6--00353.mp4_8364.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.82422___---___240x240___---___ipcam-6--00271.mp4_5472.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.28125___---___240x240___---___ipcam-6--00350.mp4_11202.jpg
coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch___---___0.34766___---___240x240___---___ipcam-6--00266.mp4_10176.jpg
